title,published_date,source,url,date_only
desakan hak angket dprd babel muncul usai wagub hellyana keluhkan fasilitas kedinasan - japos.co,2026-03-13 22:34:40,Japos.co,https://news.google.com/rss/articles/CBMiugFBVV95cUxNQnVjU0RON0hObjZMdk1haWktdmo1SHl2eHBXTjh1ZDgwSHFmZVByc2dyR0xOeUpWelUzaDBrUllqVHRkMFAxc0VmeXU3eFlWeTU0djdhOXZ4NGJqTVJtcF9lZHd1RENuMXBKWUFock85ak4xdDRjWnROeWtTejhRdlRsN3MxMk5TbXY1Z1RCd1R6LW1TaDVoaklDU0hxNEZuNVp2SFViX2FXc3A3NW1FMWlsT3E1dTgwU2c?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-13
harga beras belum membaik. - vietnam.vn,2026-03-14 01:22:06,Vietnam.vn,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5OMTJvckhVR1F3T19fOTlJUTZWMUx4dXlVYnNLbWNvdkxvY2tRa2hpTDJid1BCZkQzNjlWdE9oVHZ5dlhVZ2ZIdzdkWFI2RENtRmdsYjVoeE5uMEhRM090bnlFbUtzdw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
"aktivis kontras andrie yunus disiram air keras di salemba, polisi selidiki pelaku - universitas sains dan teknologi komputer",2026-03-14 01:40:10,Universitas Sains dan Teknologi Komputer,https://news.google.com/rss/articles/CBMirAFBVV95cUxPelcydE50WlBmSUxIYWpFZmpNTmNTbjhpUEdPQ2NrRFJaVDRwZGxnVUpqbUlHbm5tY1lSeGZ2NzB5MjM2cU5FeGgxYkVsVmRsNFNOZklBQkFld2NxVnU0LS0wdHpZRXJPaEdzQXpQNGZWTkYxWERQajNfSmVCTGJRa2NxRjhnODF5T2ktNVl3MFI3VWY4SnZYUVNycXlyVFFkS1dRT2ptRGxUNE5u?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
kontras ungkap kondisi andrie yunus usai disiram air keras - tempo.co,2026-03-14 06:21:16,Tempo.co,https://news.google.com/rss/articles/CBMimwFBVV95cUxQOV9hWHF4OTV5dFcwLVlPcVhuX1pmVHF0bENnRHVZdktUN2xyRW5XSm56MFQ1Uk05VXVNdExKWWJYQzlLV2ViV281bzQwRGRDRmVqV3NIMnNlTjZ0RFVQQmlydnhJcnZ6WnZRZGZtNlBwVm9IYVMyU1VtYkttN1c5cEdtS1FNVUpNVkNaQ1FTdGJSUHpFeXY0dVhacw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
"polres bangkep pantau harga pangan di banggai laut, pastikan stok beras aman - polri",2026-03-14 07:00:00,Polri,https://news.google.com/rss/articles/CBMixwFBVV95cUxQbDViOHpPSHF2bTBnbVB6WlR0V25HT25DSk9icTdQdHFiWU5tdldjVWpING5lVy1ScmdObzk1Ry01aXBDOWw5anBBOEVuMGtmVGs2ZUNJaHZ5VGMxZnc3ZkJVcF9KQlBBNE50bE5obmJDWmI5YldJTGplWDhKVmg2MUtOT1B5a1JOQkxpbmVtTGlzbHdUNmtjaEtUYU9qcjR2Z184ZUdUVWNEVnZSVmVmVVUtQWdfZ3VydUJGMzRxaVR3OEk0cXE0?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
"disiram air keras, aktivis kontras andrie yunus alami luka bakar 24% - detiknews",2026-03-14 20:00:29,detikNews,https://news.google.com/rss/articles/CBMiqgFBVV95cUxObEliNjVvS0I5MVZ6ZWNtaVkyQVU5c1htTDN5OWN3Mm5ZOGl4RjM2TmRqMnNRTXFOTlNXRHgxQ1hBQ1RkOExHbGw5Z193X1lhYldqT0ROaUhRQWFoRXgzcFYwNGFXZ3UtMnlQTGtmT1RJQUdrMDRzUlBMSkltNDlxc0JjZzVIbERteGM2cjJGeGcxTUlNeXVtX2RWb3JEaGNraVRsMWVRWWVaQdIBrwFBVV95cUxQeTRFazBjSVk3VlBzMEx4QXVBdms1d05BamZnbkpBRzVBeTZyWDhNYzNZbzhPQUZFeF9TYmVwSEdXRTBJQjVTMjBvUE40bnl5VGs0U0VINE1RWm5OUzFXeVZkRDB1cGxuNlI0SUNlV2hBM0s1X0c5d2xLalJrV0lVNV9mbVAtR0cxQVhBUDJFdHNzNU55YzJKU3lGbU5JSTNmOXhndzFHMHk5aUtoZUlz?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
harga telur ayam di ttu mengalami lonjakan semantara harga beras stabil - rri.co.id,2026-03-14 21:29:00,RRI.co.id,https://news.google.com/rss/articles/CBMitwFBVV95cUxOcC1FNVA1N2dCb1RWaERlSHhmU2o1YWFzYUlBdU44UEVKVllXdGREc3V3ZDZFNUtIZklCUTlNcWU3eXdUSzdjaWU3N1FkbnZWV3JuLUR0Q09lWmRXSTZfMDdzcGVlZDI1YlhoN0dmN3BtMGF1b0Ztb3RoM0tnY2UtQXBnM3AyUkpaN01Mc3VINklwNTYyWDRUalMxTWRFWkkwc2d5NHdlZU01VkdVSm9TRzFUVTZMNm8?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
fakta-fakta penyiraman air keras terhadap andrie yunus - tempo.co,2026-03-14 23:35:09,Tempo.co,https://news.google.com/rss/articles/CBMilgFBVV95cUxOVE1HQTNRdFRMRXM0WG1rNExKZzNmNjFERDNBVnZZaHUwZ21SRjFpVUprS3k3YjcwVXhxcVd3UE9RSTFJWFR2RUhXeTl0ZmhvLW5QdTZ6YjBReEdlaUdmOTVsTVd0RktsWExST2ZoVERUajR6THRHZS1yYWJtVlZQSWc4WWVPcko1TDhIc3QwdFN2VWZMT2c?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
kejahatan: aktivis kontras andrie yunus diserang dengan air keras - bbc,2026-03-14 23:48:46,BBC,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9iRTZHOVR3UVhiVWN1ZjFmSUlIazlCaXNBWEVSVjlRaHd1VFQ5cFFTYlM1bXE5Yl9tMVNOdTd6LUo2YmpNZTZ3UndfSXZWa0d0OXJSVzJaWUNlWEQ4Zm11NdIBZkFVX3lxTE8xNXZ1Qk5UdU5JMFdGNzNsYTlMVTBrQW5YWmk2NnpxT09DVHJKcU5WeE9idUFJX3dOcU40UkowYnRFdlcyNG1LNjJhdi1fZWwwUmh5SnNQdTNsOW1DUmxqQlBYaGNDQQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-14
"harga beras hari ini, 13 maret: beras om 18 tetap di harga 6.100 vnd/kg, pasar beras relatif tenang. - vietnam.vn",2026-03-15 05:42:38,Vietnam.vn,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNdWFZcFQzeTU4M09TWkpLZmZBZWlHdFlDU0t2WGdKS2M2U01WMlBKYURPdUxOckFXbk5lM2RWV1BYZmhoX0dqYUtZUEM4S1lSME5nQ09uS1l4SUZXRjk1Y1ZKdUVTVVVSSGx0Y0doVENBWnU0TE1ZY0plNFdKMUtNVlZtcGZoSVV1NEJaM1hUc1NjZHhMVEw4UW1jeGYtNHdqRm9XOU90QWtrdTA?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-15
