title,published_date,source,url,date_only
menanti janji pemerintah tuntaskan kasus penyiraman air keras andrie yunus - hukumonline,2026-03-15 23:20:05,Hukumonline,https://news.google.com/rss/articles/CBMixwFBVV95cUxPSW01ckVFN25XcUJUblZhXzB4NTRMdmdVa3ltci1JN0RKXzl3dTZnQ0FDM25BUkhHQTVWLUFtcUxTSTlPWHN6T09PSXptMWN4NzlSXzE0RWcxSGpwczJsWV9pcTVvbXhSdXRaY0dSd3BoZHlROTVZZlJqUjdSY1FhcmFHblpEYlRFZVpzU0NxcmRYc0NHdkRMa1ZfblhTZ3l6bGlBekl2bFE4dTIxczROVExpRWZuRWhvaDJvU29fUkx6QURGNUg0?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-15
"kasus serangan andrie yunus, ancaman bagi pembela ham dan lingkungan - mongabay.co.id",2026-03-16 04:57:15,Mongabay.co.id,https://news.google.com/rss/articles/CBMipAFBVV95cUxPTjczeWpVQ29RcXFxUTZWc3VpOXN4ajJDeTk5TGVjYXdTcG5oVktVVGtnZlNKcl9lZlBkR0pfcEVNRHpuc3k1a0psUzMtaDdQSDNLSjVSd0twX2ZoWTRMRFZCdmtPQ1pQc0l2UGVsTWtBelhFRWV2RmxfWHlMX3ZFQWxfMENvNnhtWldMYjRfXzE4Y2wyNGcwcTdGOEgxZndpYWxPaw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-16
serangan air keras pembela ham andrie yunus adalah percobaan pembunuhan berencana: penegak hukum harus segera usut tuntas! - ylbhi,2026-03-16 09:01:00,YLBHI,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQMDZoeWFXT2lCTjJ2YlluZ2JKalhsMEJHNUhTUlRpLVY1TmVJRjVQanF5RjFvX3ZMZzkyNVVZdzdvN094c21yVEZ5dFdsdkhCSUN3d3gzRmF2WWxlM1RnZEV4NWZRU3hVNXJ4VWRxMHRxZ3VwdTU2Z01lcUZSNkFzWmp4Xy1yTmRmUW1TUjhnMF9NWkZJQTJQMUpVejRySU1STGdLN1B4MFczSUd0UDNrWC1VOEhXM2daLTA2RW5seUV1LXhtWnNXTTJZaC1QMUtWVFFmME9kbENoUGRHVUI4UkdXV0VJUQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-16
"kejahatan: pelaku penyiraman air keras terhadap aktivis kontras andrie yunus 'berjumlah empat orang', kata polisi - bbc",2026-03-16 11:34:23,BBC,https://news.google.com/rss/articles/CBMiYEFVX3lxTE9VSU1BTHJUbmhVS1BIODdOdTNCVTZLS3lYTk5xYkJ4SUl4UF9pRWxuT0RiaXFGdWd3ajBSTmVFa1VhellSajVjbEtzUEttVnFrREVwUW8wRUVOekxqd1IzS9IBZkFVX3lxTE9BMG5VVXJGQU5DYllwTHFDaHVEZVplalU1cHAyR3dIQkFsblNZSmFKNVpxM0dENllZYTFfSE5QV1NPMTdDREZUZmJ6VDdRNVR0V2JCVHFSSzcya042RmVOc0pGUnI1dw?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-16
menelusuri jejak pelaku penyiraman air keras andrie yunus - hukumonline,2026-03-17 03:44:02,Hukumonline,https://news.google.com/rss/articles/CBMisAFBVV95cUxOc0EzanJBX2ZHb19WZW5vREtIdTAwSkJGZ181WnFnMDFNWmhOd3h2QXI0ajhyQXhqelRCTGlCRmtHQjFKakcwQThEUlVCcjVVV0QzOUVtVEpOZDhaVXh4aWtYNU5TbjZuTkM2YnFkZ1JyUVJ2WFA5S3FFM09ob0tQVlVjclFQYUVDN1hfWGRpTHY3ZHJiWmlKWmhVc0JpU091RmJXSllWOUFzcnRRVlJrNQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-17
profil andrie yunus korban serangan air keras - tempo.co,2026-03-17 23:00:00,Tempo.co,https://news.google.com/rss/articles/CBMihwFBVV95cUxQZnlNQTQ1TFBBa1Q3eUxUR1JtXzg4bXY5TDVNYkVPRVRnejBrNV9LSUN0WjA1bU5vQWJSejBBdmUza0pUQ0hab01sUWx4SE4xQ1RkNWkweUEzbEw2aF9OU1dVcDN2d1N6WnJFOHN5MWRMRmlHTkpkUk05SUVhSkVaOTlZaHRNQTQ?oc=5&hl=en-ID&gl=ID&ceid=ID:en,2026-03-17
