title,published_date,source,url
4 Prajurit yang Diduga Terlibat Penyiraman Air Keras Andrie Yunus dari Bais TNI - Kompas.com,"Wed, 18 Mar 2026 07:40:00 GMT",Kompas.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxNRHFlM3hfOEFEY3hXNWY2Z195ck9pUnNGVnZ0eHAxZFZfWFpHclJ6VUhTV1ZLTUFSWFRsRXNIUGtFb2ZfWTFzdC1kT0sxRVpOb094YzRhNm9Pb3Jucm5sMEFaN1JrclMydlpicFBFa29GYXR1U0g5ZW0xRkItQ3ZVVjlROEtnRThVaTZvMWlYNHFBaktkdlBUY2J0MDJMbEpfNVJxdy1sci1mdUZtak1XQmtTYjJfVFhuV2haOExaRjVublIzT1VV?oc=5&hl=en-ID&gl=ID&ceid=ID:en
TNI Tahan 4 Anggota BAIS dalam Kasus Air Keras Andrie Yunus - Tempo.co,"Wed, 18 Mar 2026 07:58:15 GMT",Tempo.co,https://news.google.com/rss/articles/CBMinAFBVV95cUxQM1h5QnhpNXZ0SGQ5aUVIZ0R6U0dFTlRLRW03eHVCSEtBV2IxZHVNX3Z5VkQ4Si1YQlB1amtGNjkzQlJ5TmZ5dldrc0dqZmc5YlZhaTlSTWh4NUwyLXp1VlU5d2liY2w0MnJTamI5d25vNU43ZnlyWVJ6eDBBcmtzdEtXZkNPYXpld3ZnaE5aQTZoaEJFLU1jVXU2U1I?oc=5&hl=en-ID&gl=ID&ceid=ID:en
"Danpuspom: 4 Pelaku Penyiraman Andrie Yunus Anggota BAIS TNI, Matra AL dan AU - MetroTVNews.com","Wed, 18 Mar 2026 08:26:22 GMT",MetroTVNews.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPeHd2bl93Um1HQ1FLWVl4cnNyOUxIeURvdlVXVnNzNDhqNHBHY1JwU3prQmRRM01za0M3dXk4VTFnZTBvTG5UTUk4UkZFNVdDcHBIaXhMcTNEZXlRbUZRZTJZWDBfZ1F6b3NDWGREbGhMc0gzMU9UTV9UU1VYbER2bncyZnJlMloxWjhKMThwZVNxSFN3YktyYnI4TkhtTThUNEtZdHZUQ1dzYkZEVzdyWDJubTZHUU1S?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Polisi Tampilkan Wajah Eksekutor Penyiraman Air Keras Aktivis KontraS dari CCTV - detikNews,"Wed, 18 Mar 2026 07:16:58 GMT",detikNews,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNNlBPQWlERVZsZ292d1hWQnZFRUE0b0hnZ0R2SHdPZE82cFloc2swQ0lZTkZ6amRTSWdWNXhnbndfOGVXRHdWdEhUQXpmUmhUdmNrUEc3U3NDX2daMG1xdVZWMTVxMDNjY2ptYW9jeTJVU2JIUUM4eWhvRFBFeEFXQmlJaUJvV2lBUk9pemY0cGI5VVRiZmxOVUdvaXd2YkxFMFpFZ3cyNEliaXA4cTloWnhjOUpxR0JmUWk00gHAAUFVX3lxTE90eVJRYTdBNm9wRk1EWUkwZVR1eF9WNDBzTE5MME1xN1N3bDd1cFUxTXhuUlBraXNoeGliMENFOHVaN2xKam9GX28xcDhWdEM4YV9uelY3ZXZyWVFCV0pHNWN0cEhpSTlabmg3SDEzd21YTGFjdEVFbFVzNXlYTGdsN2xIY3IyUEpsTHZ1a2d2WWRZX3M2MUU2THFtZkI1bUNRX3BhazdINVZGaGZoUlhYeDhwUnZRTVYyTldlTS1Ldg?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Desakan Pembentukan Tim Independen Pencari Fakta Kasus Penyiraman Andrie Yunus Terus Disuarakan - Kompas.id,"Wed, 18 Mar 2026 08:23:00 GMT",Kompas.id,https://news.google.com/rss/articles/CBMiwwFBVV95cUxNUWRzdzVrUVRnMzZsZHNBOURfdllkRUZKTmY0cElFSThNWFM1ZlZlMnVSOFZHUmdiMFZvX2lxVnFqQ0hNcjBWZHBJZzNQcnRHYzNiVERTXy1INHp1SHdWbWJJTUNTUkdsc2REcEZwQUJJMHZkNFRRTllWazQxTmVCbEgwZ29YWlliNnZBbTdoa25nUjZISFhmbHF3MmhGbzNOZjNFNFBLcGVLT1pza0d6VElTWmFJRGZtbGxtVF9aUWpYQ3M?oc=5&hl=en-ID&gl=ID&ceid=ID:en
"4 Anggota TNI Jadi Tersangka Penyiraman Air Keras Andri Yunus, Ini Inisialnya - Kompas.com","Wed, 18 Mar 2026 08:06:00 GMT",Kompas.com,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNTVdoU0hFZExwR2M4UzhRdnhBUTRHMkVvUWk3YXJDQmlUcHhDWnNDUk9GeEhaY25waHlkd2I1MDhMMGNVNEJLQjVjdlZvUlRsU2trSWtET25uZUgxZE9aX2s5YkNYTHJNcWMzQXpRMm9vUmtKVjRWd0g2Z19YUVVneWZ6Zm5wcG8wUUdlNlR4THA0U1ZiUVIxdkROeFZRejNNNG1WbHRKeVJCVHFuQjVaN3ZFUE1ON0FXR3YzcjhLWjUwMHV3R3NETA?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Aktivis KontraS Andrie Yunus Korban Penyiraman Air Keras Jalani Tanam Kulit - detikNews,"Wed, 18 Mar 2026 09:44:11 GMT",detikNews,https://news.google.com/rss/articles/CBMitgFBVV95cUxPemRmT2NOV1JlLWlBbnpqQ2w1eGN1X0tkeFctMkNldFFKcWNKY3kwRGJoUlJISjhXRTFwOGFWdkhlZ0dxQl9Zdko4SEFqXzdpSVEtem1QNHhHazViMmsxYWtRQXNLV1BabGlUUlRaVERackZVQjlyNkFiZktHMWFhTXpfNjVhS1RleXZWM0NnWmcxNXpra3ZIYndlME5sMHAyM1FCVEFMdkUtNkdvY0pSaDdaZVdMd9IBuwFBVV95cUxQanVYRkVnUGdYdGtXOERNMl9yZi1Xd2dPbU1MR2NNWFMwWWhWM3J1clk4Tkw5U3VQLVRTb2I2NkFjWVVDOTN5ZGdEaVpLVTk3LUtNckhhd2NSZHp0Mjd1YWgwUFowZ0VBWGhYV08wZjVLc05WOTQ0emNKMENKS3pla2RDNG1qYkMwRFdpWlZlZWxSLUZPaEVVTmZkV2tlV1pTeXM1Ynk1RXNHWVA5Sm53eDFzRExYTHJvSVNV?oc=5&hl=en-ID&gl=ID&ceid=ID:en
"Berbekal Keterangan 15 Saksi, Polisi Identifikasi Penyiram Andrie Yunus - MetroTVNews.com","Wed, 18 Mar 2026 08:52:25 GMT",MetroTVNews.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxQNXA3TmVNa0N5eVdtM1FyNDNBSXQ3T3JfeGU3YWRkdzRKcnhMeXNhVUxmM2E0V28wMVRxX1BKNnB1T2E5dU5weGk4Qy1SaFY4VXBRTzF4Zl9pLUtWUnVDVWdJa2g0SkVLUXoyZGI0eDRGYldCOGVIUGFxZWVJaWNadFlWUFd6cV92ekNFZnBtb3BWT2Y4eWxEYmRHaUlwT0p1YXhSVjN0am5PSFkzQXdHSHln?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Serangan Andrie Yunus Bukan Penganiayaan tapi Percobaan Pembunuhan - jaring.id,"Wed, 18 Mar 2026 08:43:46 GMT",jaring.id,https://news.google.com/rss/articles/CBMijgFBVV95cUxQZmM4eWdHZGdXckhnQnhjRHpEMnU5cGxfNTcyb1d5MUZzQXNaVHhXRjF3NFFjdW9uVDBmTC1seDhybmViZHdSWEFBTVFWdlZGZ3E0aVNCVDN5eXhSSGRReWc4NHVCdWZNb2dYVk1wZFRObTIzcGF6eHNOelpxdURzV3lXQWRjWFdQNzl3Z0pn?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Fakta-Fakta Hasil Pengusutan Kasus Penyiraman Air Keras Andrie Yunus - MetroTVNews.com,"Wed, 18 Mar 2026 09:06:33 GMT",MetroTVNews.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxPaHhCMzRqaVJMd1l4MEVhbHZyOHVrRzlCVzZZZldmVThqbkRiNHRRbWNkenVlbmRpS2g2cjQzTUlkNndzT1BvQjhkbnc2UVVTM2RYd3JsaTJhdkowcFBnU1FYREF0VkVjUG0wVVBxUDNqekswQV96TjM1S0FNQU5KWTdiay05VV9hbnY5TEpnZ2lnRTVvTFBrbDd5TnllMHB4a0RvSmNkOHZDSnNIWXJZ?oc=5&hl=en-ID&gl=ID&ceid=ID:en
Kontras: Tak Ada Kerusakan Parah pada Mata Andrie Yunus - Tempo.co,"Wed, 18 Mar 2026 07:09:44 GMT",Tempo.co,https://news.google.com/rss/articles/CBMimAFBVV95cUxNTGlNdTgydmRObElUOENSemhrSkdlOXZzTUw2UXBKbkZLR091S21ydG1tbXdlNmtWZVpqUklmZ1FPdE5jblpuWEstTGJFWl9KNDA3ZTlNVndBZWoyeFpmUEoxcFhrVzNYME5iVGRfek9MMzVwQ25zaXlmRFBsRkNZQVVCT3JLb0hBVXdxQzljUXlETzItMjk5Rg?oc=5&hl=en-ID&gl=ID&ceid=ID:en
